CAPGEMINI TECHNOLOGY SERVICES
ETABLISSEMENTS CAILLAU
MODIS FRANCE
NEFTYS CONSEIL
PA COTTE
CSC FINANCIAL SERVICES SAS
TEXELIS
PLASTIC OMNIUM AUTO INERGY SERVICES
VOLUNTIS
METALSCAN
EGIS STRUCTURES ET ENVIRONNEMENT
BOIRON 
GALILEO GLOBAL EDUCATION FRANCE
E FRONT
SOGETI FRANCE
CTRE RECHERCHE DEVELOPPEMENT NESTLE
BOMBARDIER TRANSPORT FRANCE SAS
SECHE ENVIRONNEMENT
VIVENDI
GIE AXA
HAUTE TECHNOLOGIE ET INTELLIGENCE
ALIAXIS GROUP
ARMOR
BIOSYNEX
EGIS RAIL
CONSORT FRANCE
SOFT COMPUTING
SOCIETE CENTIGON FRANCE SAS
UNI PACKAGING
UBISOFT ENTERTAINMENT
IMV TECHNOLOGIES
SMARDTV
OMICX
INVESTANCE PARTNERS
TELEFLOW SAS
FAYAT
DOCTOLIB
EXANE
EXANE DERIVATIVES
STE OUEST FRANCE
ADIKTEEV
SDMO INDUSTRIES
DAILYMOTION
ALKEMICS
KEYNECTIS
KEONYS
ADENTS HIGH TECH INTERNATIONAL
STUDEC SA
OLFEO
BERGER LEVRAULT
NEOTION
AVISTO TELECOM
PARROT FAURECIA AUTOMOTIVE
DENIS & FILS SAS
SGT
EGIS EAU
MYSCRIPT
QUICKSIGN
MACHINA CAPITAL
GROUP ELASTOTECK
P3 GROUP SARL
FOCAL JMLAB
DREEM
PARROT DRONES
PREDICT
HYDRETUDES
VSOLUTION
SNEF
HYPHEN BIOMED
UNOWHY
KAPPA SANTE
BOUVERAT INDUSTRIES
EGIS INDUSTRIES
STE DES COLORANTS DU SUD OUEST
ABBOTTAGRA
SURICATS CONSULTING
STORE ELECTRONIC SYSTEMS
SA TRANSVALOR
FLEX FUEL ENERGY DEVELOPMENT (FFED)
BUREAU ETUDES TECH ORGANISATION MODERN
ARMOR MECA
ATLANTIC CLIMATISATION & VENTILATION
STE INDUSTRIELLE POUR LE DEVELOPPEMENT DE LA SECURITE
FIME
BLUENOVE
MENTION SOLUTIONS
TRUSTBK
EATON INDUSTRIES (FRANCE) SAS
REPORTLINKER
SURICATS CONSULTING
PARTNER CONSULTANCY SERVICES FRANCE
FORMULINVEST
SQUAD
SHARINGBOX FRANCE
IKOS CONSULTING
LASELEC
ATLANTIC INDUSTRIE
ALLTECH SARL
MERITIS TECHNOLOGIES
LAFON
STUART
OGS SYSTEMS FRANCE
CAPGEMINI CONSULTING
DEEPOMATIC
ZELROS
FAIVELEY TRANSPORT TOURS SAS
NEXTER SYSTEMS
NEXTER SYSTEMS
NOVACAP
ART FI
PARTNER CONSULTANCY SERVICES FRANCE
ANALYSE INFORMATIQUE DES DONNEES
2SB
111 CAPITAL
NAGRA FRANCE
ELSYS DESIGN SA
ENERGIE TRANSFERT THERMIQUE
SOFTBANK ROBOTICS EUROPE
FONDATION OPHTALMOLOGIQUE ROTHSCHILD
FONDATION OPHTALMOLOGIQUE ROTHSCHILD
GARAGE DES SPORTS MECANIQUES
ALLIOS
AKIO
ECOLE SUP INFORMATIQUE ELECTRON AUTOMAT (ESIEA)
BIOPTIMIZE
CONSTRUCTIONS INDUSTRIELLES MEDITERRANEE
NWL FRANCE PRODUCTION
HAPPYTAL
LIVINGPACKETS FRANCE
GUILLOT INDUSTRIE
SAFERAIL
LEONI WIRING SYSTEMS FRANCE
MPG PARTNERS
SOGEFI FILTRATION FRANCE
INTEGRYTIS
ALBAN MULLER INTERNATIONAL
SURICATS CONSULTING
FRONERI DEVELOPMENT CENTER GLACES SAS
FAIVELEY TRANSPORT AMIENS
ALTERSIS
MELCHIOR MATERIAL AND LIFE SCIENCE FRANCE
SEA PRODUCTIQUE
ENGINEERING RESEAUX COMMUNICATIONS
CODIX COMPAGNIE DE DISTRIBUTION INFORMATIQUE EXPERT
LEYBOLD FRANCE
ARELIS
ECKARDT SAS
EGIS AVIA (SOFREAVIA)
CONDAT SA
EVS TOULOUSE
SERVICE ELECTRONIQUE ENGINEERING
KUKA SYSTEMS AEROSPACE
AIRIS FRANCE SAS
SAGITTA PHARMA
CALLR
4 CAD IOT
LA FRANCAISE DE L'ENERGIE
LA FRANCAISE DE L'ENERGIE
LA FRANCAISE DE L'ENERGIE
ANIMINE
SYMANTEC FRANCE
BURGEAP
CELAD
CONSOLIS SAS
EGIS VILLES ET TRANSPORTS
ECOLE SUP INFORMATIQUE ELECTRON AUTOMAT (ESIEA)
IGA ASSURANCES
FAIRYEL INVESTISSEMENT
MILLENNIUM INORGANIC CHEMICALS LIMITED
KMG ULTRA PURE CHEMICALS SAS
FONDATION OPHTALMOLOGIQUE ROTHSCHILD
ARIA TECHNOLOGIES
SOGEFI AIR & REFROIDISSEMENT FRANCE
CTP ENVIRONNEMENT
CLEO
ADHEX TECHNOLOGIES
INGEMECA
ARO WELDING TECHNOLOGIES
RCD EXCEPT
SAM4MOBILE
STE BOPP TREUILS
RUBIX S&I
GENIE DES LIEUX - CONSEIL EN MANAGEMENT PAR L'ESPACE
MCE-5 DEVELOPMENT
LABORATOIRES PHODE
TAS FRANCE
MENSIA TECHNOLOGIES
LA FRANCAISE DE L'ENERGIE
CIEL ET TERRE INTERNATIONAL
HUHTAMAKI LA ROCHELLE SAS
ECOLE SUP INFORMATIQUE ELECTRON AUTOMAT (ESIEA)
ECOLE SUP INFORMATIQUE ELECTRON AUTOMAT (ESIEA)
UPTILAB
EGIS INTERNATIONAL
S ARA COMPOSITE
SOC INDUSTRIELLE DE CHAUFFAGE
H3C ENERGIES
ORFEOR
CYBERNETIX
SPINEVISION
ACCEPTABLES AVENIRS
DEEPOMATIC
POWIDIAN
ENTECH SE
CITEL
VISIBLE PATIENT
THUASNE
CARTEGIE
MAINTENAN INFORMATI ORGANISAT SERVICES - MIOS
INVENGO TECHNOLOGIES SARL
AEROTEC CONCEPT
ZHOR TECH
UNOWHY
SA CEDRAT TECHNOLOGIES
STATICE MANUFACTURING
INTITEK HINNOYA
PYTHEAS
EUROPEAN RAIL SOFTWARE APPLICATIONS
LAFARGEHOLCIM FRANCE
TECHNICAL CENTER EUROPE AFRICA
GRDF
CIAC INTERNATIONAL TECHNOLOGIES
FICHIER SELECTION INFORMATIQUE
S'TILE
TALLANO TECHNOLOGIE
ALLIANZ IARD
LACOSTE OPERATIONS
EULER HERMES SERVICES
CREATYM FRANCE
DELTAVIT
SOLID
XPLORER
INIT SYS
EKITO
CSP EUROPE
SOBAC
EDSI
ENG'IN TECHNOLOGIES
ZAION
ASSISTANCE TECHNIQUE ET FINANCIERE (ASTEFI)
APISSYS
SYSTEMES D INFORMATION A REFERENCE SPATIALE SIRS
ACTIV'INSIDE
I-SEP
PHODE SCIENCES
PFEIFFER VACUUM
EDF ENR PWT
MAESTRIA PEINTURES
GRANDS MOULINS DE PARIS
QUANT HOUSE
CMS AUTOMATISME
VIANEOS
SAFE CONNECT SYSTEMS
PHINC DEVELOPMENT
VERTIV
EXSENS
CIAC INTERNATIONAL TECHNOLOGIES
GEST FINANC ET COMMERCIALE ATLANTIC
THERMOR PACIFIC
ERDIL
DOLLFUS ET MULLER
MAFELEC GROUP
CLEM
INVOXIS FRANCE
DSB
ALKERN GROUPE
STUDI
VISHAY MCB INDUSTRIE
SELERYS
BANQUE NEUFLIZE OBC
MINITUBES SA
EUROTAB
STATLIFE
STREETLAB
GO TOUCH VR
SOGEFI SUSPENSIONS FRANCE - ARA
CARCIDIAG BIOTECHNOLOGIES
ANDRICE
WISEKEY SEMICONDUCTORS
GENBIOTECH
IGA VOYAGES
JPP MANAGEMENT
METROVISION
GREENFIELD TECHNOLOGY
T&J HEALTHCARE
SENSORWAKE
MEDIFIRST
AVENTICS S.A.S.
DUSSAU DISTRIBUTION
CARBIOS
SUNCNIM
EFS SAS
HENRI DEPAEPE SAS
CYXPLUS
FLERTEX SINTER
OLYMPE SAS
PROGILONE
EVOLLIS
CALANDRAGE INDUSTRIEL FRANCAIS
SARL LAPODE
MESURE-SYSTEMS3D (MS3D)
MAREL FRANCE
STE D'ETUDES ET DE REALISATIONS TECHNIQUES PUBLICITAIRES
EGIS PORTS
OMICX
ANNECY ELECTRONIQUE
AD SOFTWARE
VISHAY SA
IKALOGIC
ELYSEE COSMETIQUES
HAVAS EDITION
I-SEP
FORCITY
DISTRIGAME
GOLDEN EYES
HIRAM FINANCE FRANCE SARL
SCHOTT VTF
MARCEAU AMALRIC SA
SPS PHARMA SERVICES
DELIFRANCE SA
HYDRETUDES OCEAN INDIEN
HIFIBIO
STUDIALIS
BSD CONCEPT
SAINT JEAN FINANCE
KEPLER SOLUTIONS
INFOLOGIC - SANTE
GAMESTREAM
AQUALUX SAS
NOBEL SPORT
LAFARGEHOLCIM FRANCE
NIDEC PSA EMOTORS
DATAKIT
SANEF
FRANCE TELEVISIONS
HAVAS MEDIA FRANCE
SYNTETIC XD
NOR FEED
CLASEL
ARCADOPHTA
SA SOREEL
KELVION THERMAL SOLUTIONS (BTT)
WEEROC
IMMANENS
COMSIS
SURICATS CONSULTING
LEUVILLE OBJECTS
DATADIRECT NETWORKS FRANCE
NICOMATIC
SILKKE
WEEE METALLICA
SAS ICOM FRANCE
TRANSFERT DEVELOPPEMENT INFORMATIQUE
PUISSANCE I
SA STUDELEC
GIBAUD
OTD ONCOLOGY THERAPEUTIC DEVELOPMENT
CMR GROUP
ALPES INGENIERIE INFORMATIQUE (A2I)
TEEM PHOTONICS
LABO RECHERCH CTRL CAOUTCHOUC PLASTI (LRCCP)
MOB-ION
FAVEOD
SALVIA DEVELOPPEMENT
MILKY
VCF HABITAT IDF
SUNPARTNER TECHNOLOGIES
SOC APPLICATIONS THERMIQUES EUROPEENNE
AGILE INVEST
ADOK
EPTA FRANCE SA
SOC ELECTRONIQUE TELECOMM INGENIER PERIT
UMANIT
LEONI CIA CABLE SYSTEMS
HENDRICKSON FRANCE S A S
OBERTHUR FIDUCIAIRE SAS
OBERTHUR CASH PROTECTION
FAVEOD
AFRIMARKET
MONDRAGON ASSEMBLY
FIAMM FRANCE
AXIOM
UMANIT
GROUPE PHOSPHORE
SAS L ELECTROLYSE
SATEBA SYSTEME VAGNEUX
NOVOCERAM PRODUITS CERAMIQUES
SOPHIA GENETICS
LEGUILLE GUIHENEUF CONSULTING AND ENGINEERING
SEPRO ROBOTIQUE
INGENIERIE DESIGN CREATION
ECOGEOSAFE
DHI
STRATE COLLEGE
OGD2 PHARMA
SURICATS CONSULTING
CRIME SCIENCE TECHNOLOGY
DYNAMITA
METSO FRANCE SAS
AQUALUX SAS
AQUALUX SAS
WEBLIB
IDENTIFICATION TIMING SYSTEM ITS
ETU ET REALIS DE LABO ERLAB DFS
HARWELL MANAGEMENT
BIOMILLENIA
SOGAPLAST INDUSTRIE
LA COMPAGNIE DES MOBILITES
R-PUR
KANTENA
VIZE SOFTWARE
BIOVAC
NOMADIC SOLUTIONS
TEISSEIRE FRANCE SAS
CHEDDITE FRANCE
ANDERMATT FRANCE
NEXTIS
STRATE COLLEGE
GENÉVRIER 
CENTRE DE RECHERCHES EN MACHINES THERMIQUES (CRMT)
DORAN INTERNATIONAL
WIN TIME
FALGAYRAS S A S
SCALE
ACEP FRANCE S.A.
INTSEL CHIMOS
XCRUSHER
OGD2 PHARMA
TKX CORPORATION
CMS AUTOMATISME
DELPEYRAT
SHARK ROBOTICS
ACEMIA INDUSTRIE
NDC FOUNDRY
NOUMA
MECANUMERIC
ADICT
MARCHANTE
SUNTEC INDUSTRIES FRANCE
SCHAPPE TECHNIQUES
ALPOL COSMETIQUE
ADSM
MULTIBASE
AMETEK SAS
SUNCNIM
ATIM SARL
DEMS
Z-AIR
PERSONAL WATER CRAFT PRODUCT
PERSONAL WATER CRAFT PRODUCT
AUTARCIA
ESTHETI'CONCEPT
STUDIEL
DELEO
HELITE
HELITE
SUPRAMECA
NARVIL
MORS SMITT FRANCE
MINALEA
BSD CONCEPT
AMABIS
KAP-CODE
DETERMINE
IKOS RA
TAC - THIERRY APOTEKER CONSULTING
DIGITALENT
NIXE
GENERALE MECANIQUE APPLIQUEE
OPTIMA CONCEPT
INVENTIVA
RIBA SARL
INSTITUT DES MAMANS MAMAN FR
ETU ET REALIS DE LABO ERLAB DFS
SA IESA
STONE EVOLUTION SAS
AQUALUX SAS
GAMING PARTNERS INTERNATIONAL
RUBIX S&I
EDISER - EDITION SECURITE ROUTIERE
LOGELIS
FOREZIENNE M F L S'
STE INDUSTRIELLE D'ETUDES & REALISATIONS (SIER)
ESSONNE SECURITE
CONCEPTION SYSTEME TECHNOLOGIE MECANIQUE
INVENTY SOLUTIONS
STE ETUDES PLASTIQUES APPLIQUEES
GLOBALSENSING TECHNOLOGIES
TECHNI MODUL ENGINEERING
OSIVAX SAS
ARGECO DEVELOPPEMENT
ANAVEO
WEENAT
STRATE COLLEGE
NEOLIX
CISTEO MEDICAL
TELMA
LE SPHINX DEVELOPPEMENT
MICROVITAE TECHNOLOGIES
NEOLIX
CAP TERRE
H.B. FULLER ADHESIVES FRANCE
DIMECO ALIPRESSE
SICTA
SARL VERTECH
EQUIPEMENTS FOR CHEMICAL INDUSTRIES
GIVAUDAN LAVIROTTE
ETU ET REALIS DE LABO ERLAB DFS
E-DENTIC
ANVIS INDUSTRY SAS
ARRAS MAXEI
THEUS INDUSTRIES
SYSOCO
ANOV FRANCE
ARPITEC
LG CONSEIL
ETABLISSEMENTS RENE TOY ET COMPAGNIE
MEDELPHARM
PHENIX SAS
MULTALER ET CIE
SPINEGUARD
KEYMANTICS
TELMAR PEAKTIME SAS
CIE FRANCAISE D'ASSURANCE POUR LE COMMERCE EXTERIEUR
CAOUTCHOUC MANUFACTURE DE L OISE
IARA
EFFICACITY
NUCLEAIRE CONCEPTION & CALCULS
MEDI THAU MAREE
WESTINGHOUSE ELECTRIQUE FRANCE SAS
SOLICIS
CORDON ELECTRONICS
DIGITSOLE
WYCA
KERMENE
SOLUTIONS PRODUCTIVES
CELLULOPACK
V MOTECH
ACTI-PLAST
LA CROISEE DS
GEPS TECHNO
SARL POLYPACK
DAMAVAN IMAGING
GROUPE6TM
GROUPE6TM
GROUPE6TM
ARMATIS LC FRANCE
ARMATIS LC FRANCE
